Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Raul Neto,PG,29,WAS,70,19,19.6,2.9,6.3,.463,0.5,1.7,.292,2.4,4.6,.526,.502,1.2,1.5,.769,0.2,1.7,1.9,3.1,0.8,0.0,1.1,1.5,7.5
Malik Newman,PG,24,CLE,1,0,8.0,3.0,5.0,.600,0.0,1.0,.000,3.0,4.0,.750,.600,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0
Frank Ntilikina,SG,23,DAL,58,5,11.8,1.5,3.8,.399,0.7,1.9,.342,0.9,1.9,.455,.484,0.4,0.4,.960,0.2,1.2,1.4,1.2,0.5,0.1,0.5,1.1,4.1
Semi Ojeleye,PF,27,TOT,30,0,13.5,1.0,3.3,.303,0.5,1.7,.300,0.5,1.6,.306,.379,0.8,1.0,.793,0.9,1.6,2.5,0.3,0.2,0.2,0.3,1.0,3.3
Onyeka Okongwu,C,21,ATL,48,6,20.7,3.3,4.7,.690,0.0,0.0,0,3.3,4.7,.690,.690,1.7,2.3,.727,2.4,3.5,5.9,1.1,0.6,1.3,0.9,3.1,8.2
Isaac Okoro,SF,21,CLE,67,61,29.6,3.1,6.4,.480,0.8,2.3,.350,2.3,4.1,.555,.544,1.8,2.3,.768,1.1,1.9,3.0,1.8,0.8,0.3,0.9,2.4,8.8
Cameron Oliver,SF,25,ATL,2,0,21.5,5.0,7.5,.667,0.5,1.5,.333,4.5,6.0,.750,.700,1.0,1.5,.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5
Kelly Olynyk,C,30,DET,40,1,19.1,3.2,7.2,.448,1.0,3.0,.336,2.2,4.2,.527,.517,1.7,2.2,.775,1.4,3.1,4.4,2.8,0.8,0.5,1.5,2.5,9.1
Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,1.0,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
Cedi Osman,SF,26,CLE,66,3,22.2,3.7,8.7,.432,1.9,5.4,.357,1.8,3.2,.559,.544,1.3,2.0,.664,0.4,1.8,2.2,2.0,0.8,0.2,1.0,1.9,10.7
Kelly Oubre Jr.,SF,26,CHO,76,13,26.3,5.4,12.3,.440,2.5,7.3,.345,2.9,5.0,.578,.542,1.7,2.5,.667,1.0,2.9,4.0,1.1,1.0,0.4,0.9,2.5,15.0
Jaysean Paige,PG,27,DET,1,0,7.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
Trayvon Palmer,SG,27,DET,1,0,17.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
Kevin Pangos,PG,29,CLE,24,3,6.9,0.6,1.9,.326,0.3,1.1,.231,0.4,0.8,.450,.391,0.1,0.2,.750,0.1,0.4,0.5,1.3,0.1,0.0,0.3,0.5,1.6
Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,.474,0.7,1.3,.500,0.8,1.8,.455,.579,0.8,0.8,1.000,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
Gary Payton II,SG,29,GSW,71,16,17.6,3.0,4.8,.616,0.6,1.7,.358,2.4,3.2,.754,.679,0.5,0.8,.603,1.0,2.5,3.5,0.9,1.4,0.3,0.6,1.8,7.1
Reggie Perry,PF,21,TOT,10,1,18.7,4.0,7.9,.506,0.3,1.6,.188,3.7,6.3,.587,.525,0.9,1.5,.600,1.5,3.2,4.7,1.2,0.9,0.6,1.1,3.3,9.2
Reggie Perry,PF,21,IND,1,0,10.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
Jamorko Pickett,PF,24,DET,13,0,13.5,1.4,3.8,.360,1.0,3.0,.333,0.4,0.8,.455,.490,0.1,0.2,.500,0.5,2.0,2.5,0.5,0.0,0.5,0.4,0.9,3.8
Theo Pinson,SF,26,DAL,19,0,7.8,0.7,2.1,.359,0.5,1.6,.333,0.2,0.5,.444,.487,0.5,0.5,1.000,0.1,1.0,1.1,0.9,0.3,0.1,0.3,0.6,2.5
Mason Plumlee,C,31,CHO,73,73,24.6,2.8,4.4,.641,0.0,0.0,.000,2.8,4.4,.645,.641,0.9,2.3,.392,2.4,5.3,7.7,3.1,0.8,0.7,1.4,3.1,6.5
Jordan Poole,SG,22,GSW,76,51,30.0,6.2,13.9,.448,2.8,7.6,.364,3.5,6.3,.550,.548,3.2,3.5,.925,0.4,3.0,3.4,4.0,0.8,0.3,2.5,2.7,18.5
Otto Porter Jr.,PF,28,GSW,63,15,22.2,3.1,6.6,.464,1.3,3.4,.370,1.8,3.2,.565,.560,0.8,1.0,.803,1.4,4.4,5.7,1.5,1.1,0.5,0.6,1.3,8.2
Kristaps Porziņģis,PF,26,TOT,51,51,29.0,6.9,15.0,.459,1.5,4.9,.310,5.4,10.1,.532,.510,4.9,5.6,.867,2.0,6.1,8.1,2.3,0.7,1.6,1.6,2.7,20.2
Kristaps Porziņģis,PF,26,DAL,34,34,29.5,6.7,14.9,.451,1.4,5.1,.283,5.3,9.9,.537,.499,4.3,5.0,.865,1.9,5.8,7.7,2.0,0.7,1.7,1.6,2.6,19.2
Kristaps Porziņģis,PF,26,WAS,17,17,28.2,7.2,15.2,.475,1.7,4.6,.367,5.5,10.6,.522,.531,5.9,6.8,.871,2.2,6.6,8.8,2.9,0.7,1.5,1.6,2.9,22.1
Micah Potter,C,23,DET,3,0,10.3,1.7,3.7,.455,0.0,0.7,.000,1.7,3.0,.556,.455,0.7,0.7,1.000,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0
Dwight Powell,C,30,DAL,82,71,21.9,3.3,4.9,.671,0.2,0.5,.351,3.1,4.4,.703,.687,2.0,2.6,.783,2.1,2.8,4.9,1.2,0.5,0.5,0.8,2.7,8.7
Payton Pritchard,PG,24,BOS,71,2,14.1,2.3,5.3,.429,1.4,3.5,.412,0.8,1.8,.461,.564,0.3,0.3,1.000,0.5,1.4,1.9,2.0,0.4,0.1,0.6,0.9,6.2
Cam Reddish,SF,22,TOT,49,7,20.7,3.4,8.3,.404,1.3,3.8,.359,2.0,4.6,.442,.485,2.1,2.3,.902,0.5,1.6,2.1,1.0,1.0,0.3,1.2,1.2,10.1
Cam Reddish,SF,22,ATL,34,7,23.4,4.1,10.1,.402,1.7,4.5,.379,2.4,5.6,.421,.487,2.1,2.4,.900,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.9
Nick Richards,C,24,CHO,50,5,7.3,1.2,1.8,.667,0.0,0.0,0,1.2,1.8,.667,.667,0.6,0.9,.698,0.7,1.0,1.7,0.3,0.2,0.4,0.5,1.0,3.0
Josh Richardson,SG,28,TOT,65,7,24.6,3.6,8.2,.438,1.6,3.8,.415,2.0,4.4,.458,.534,1.5,1.7,.889,0.6,2.2,2.8,1.8,0.9,0.4,1.0,1.8,10.2
Josh Richardson,SG,28,BOS,44,0,24.7,3.5,7.8,.443,1.4,3.5,.397,2.0,4.3,.481,.534,1.4,1.6,.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7
Justin Robinson,PG,24,TOT,25,0,12.2,1.1,3.7,.301,0.7,2.4,.295,0.4,1.3,.313,.398,0.2,0.3,.500,0.2,0.7,0.8,1.3,0.4,0.0,0.7,1.1,3.1
Justin Robinson,PG,24,DET,5,0,18.2,1.8,5.6,.321,1.6,4.2,.381,0.2,1.4,.143,.464,0.4,1.2,.333,0.4,1.0,1.4,1.8,0.2,0.2,1.0,1.6,5.6
Rajon Rondo,PG,35,TOT,39,1,17.9,1.7,4.5,.386,0.8,2.3,.352,0.9,2.3,.420,.474,0.5,0.7,.731,0.4,2.4,2.8,4.4,0.8,0.2,1.7,1.4,4.8
Rajon Rondo,PG,35,CLE,21,1,19.4,2.1,5.0,.429,1.1,2.8,.397,1.0,2.2,.468,.538,0.9,1.1,.750,0.2,2.6,2.8,4.9,0.9,0.0,1.6,1.5,6.2
Terry Rozier,SG,27,CHO,73,73,33.7,7.1,16.0,.444,3.0,8.1,.374,4.1,7.9,.516,.539,2.1,2.4,.852,0.8,3.5,4.3,4.5,1.3,0.3,1.3,1.6,19.3
Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,.363,1.7,5.1,.339,2.6,7.0,.380,.434,2.6,3.0,.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1
Matt Ryan,SF,24,BOS,1,0,5.0,1.0,5.0,.200,1.0,5.0,.200,0.0,0.0,0,.300,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Domantas Sabonis,PF,25,IND,47,46,34.7,7.0,12.1,.580,0.7,2.3,.324,6.3,9.9,.639,.610,4.1,5.5,.740,3.3,8.8,12.1,5.0,1.0,0.5,3.0,3.1,18.9
Tomáš Satoranský,PG,30,WAS,22,10,18.9,1.8,3.8,.476,0.3,1.0,.273,1.5,2.8,.548,.512,1.0,1.1,.840,0.4,2.4,2.8,4.9,0.7,0.2,1.0,1.7,4.9
Jordan Schakel,SG,23,WAS,4,0,7.5,0.3,2.8,.091,0.3,1.5,.167,0.0,1.3,.000,.136,0.5,0.5,1.000,0.5,1.5,2.0,0.0,0.3,0.0,0.3,0.0,1.3
Dennis Schröder,SG,28,BOS,49,25,29.2,5.2,11.9,.440,1.4,3.9,.349,3.9,8.0,.485,.497,2.5,3.0,.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4
Tre Scott,SF,25,CLE,2,0,5.5,1.5,3.0,.500,0.0,0.5,.000,1.5,2.5,.600,.500,0.0,0.0,0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0
Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,.450,1.0,4.1,.244,5.2,9.6,.538,.487,2.6,3.5,.744,1.2,2.1,3.3,2.1,0.9,0.0,2.8,2.3,16.0
Day'Ron Sharpe,PF,20,BRK,32,8,12.2,2.7,4.7,.577,0.1,0.2,.286,2.6,4.4,.592,.584,0.8,1.3,.585,2.5,2.5,5.0,0.5,0.3,0.5,0.9,1.9,6.2
Chris Silva,PF,25,TOT,10,0,9.1,0.8,1.5,.533,0.0,0.0,0,0.8,1.5,.533,.533,1.0,1.2,.833,1.3,2.3,3.6,0.7,0.0,0.1,0.8,2.0,2.6
Marko Simonovic,C,22,CHI,9,0,3.9,0.4,1.7,.267,0.1,0.6,.200,0.3,1.1,.300,.300,0.9,1.2,.727,0.6,0.6,1.1,0.0,0.1,0.1,0.2,0.7,1.9
Deividas Sirvydis,SG,21,DET,3,0,9.0,0.3,3.3,.100,0.3,2.3,.143,0.0,1.0,.000,.150,0.0,0.0,0,0.0,2.0,2.0,0.3,1.0,0.3,0.0,1.3,1.0
Javonte Smart,PG,22,TOT,17,1,11.8,1.1,3.5,.317,0.5,1.6,.296,0.6,1.9,.333,.383,0.3,0.4,.833,0.3,1.1,1.4,0.9,0.4,0.2,0.6,0.7,3.0
Marcus Smart,PG,27,BOS,71,71,32.3,4.2,10.1,.418,1.7,5.1,.331,2.5,5.0,.506,.501,2.0,2.5,.793,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1
Ish Smith,PG,33,TOT,65,1,17.3,2.8,6.6,.430,0.4,1.0,.373,2.5,5.6,.441,.459,0.2,0.4,.625,0.4,1.8,2.2,3.8,0.7,0.4,1.2,1.2,6.3
Ish Smith,PG,33,CHO,37,1,13.8,2.0,5.0,.395,0.3,0.7,.400,1.7,4.3,.394,.422,0.3,0.5,.632,0.3,1.2,1.5,2.6,0.5,0.3,1.0,0.9,4.5
Ish Smith,PG,33,WAS,28,0,22.0,4.0,8.8,.457,0.5,1.5,.357,3.5,7.3,.478,.488,0.1,0.2,.600,0.5,2.5,3.0,5.2,1.0,0.5,1.5,1.6,8.6
Jalen Smith,PF,21,TOT,51,8,18.1,3.5,6.9,.503,0.8,2.4,.328,2.7,4.5,.596,.560,1.5,2.0,.765,2.0,4.0,6.0,0.5,0.3,0.8,0.8,1.9,9.2
Jalen Smith,PF,21,IND,22,4,24.7,5.1,9.7,.531,1.4,3.8,.373,3.7,5.9,.631,.603,1.7,2.3,.760,2.1,5.5,7.6,0.8,0.4,1.0,0.9,2.0,13.4
Xavier Sneed,SF,24,TOT,9,0,4.3,0.2,1.1,.200,0.1,0.9,.125,0.1,0.2,.500,.250,0.0,0.0,0,0.2,0.4,0.7,0.1,0.0,0.0,0.0,0.2,0.6
Tony Snell,SG,30,TOT,53,12,15.5,1.3,3.2,.404,0.8,2.4,.352,0.5,0.8,.558,.535,0.1,0.1,1.000,0.3,1.6,1.9,0.5,0.3,0.2,0.4,1.3,3.5
Cassius Stanley,SG,22,DET,9,1,17.2,2.1,5.1,.413,0.4,1.9,.235,1.7,3.2,.517,.457,1.1,1.1,1.000,0.6,1.6,2.1,0.4,0.6,0.2,0.7,1.9,5.8
Nik Stauskas,SG,28,TOT,8,0,4.9,0.6,1.8,.357,0.5,1.3,.400,0.1,0.5,.250,.500,0.5,0.8,.667,0.1,0.3,0.4,0.3,0.0,0.0,0.1,0.1,2.3
Nik Stauskas,SG,28,BOS,6,0,2.5,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,0,.500,0.2,0.3,.500,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.2
Lance Stephenson,SG,31,ATL,6,0,11.7,0.8,2.2,.385,0.0,0.5,.000,0.8,1.7,.500,.385,0.2,0.3,.500,0.2,2.3,2.5,1.8,0.0,0.0,0.7,1.3,1.8
Lance Stephenson,PG,31,IND,40,1,18.6,3.6,7.8,.458,0.7,2.2,.310,2.9,5.6,.516,.502,1.6,2.0,.795,0.3,2.5,2.8,3.9,0.6,0.1,1.7,2.2,9.3
Lamar Stevens,PF,24,CLE,63,13,16.1,2.5,5.1,.489,0.3,1.0,.277,2.2,4.0,.543,.517,0.8,1.2,.707,0.7,1.9,2.6,0.7,0.5,0.3,0.7,1.7,6.1
Isaiah Stewart,C,20,DET,71,71,25.6,3.5,6.9,.510,0.2,0.6,.326,3.3,6.3,.529,.526,1.0,1.5,.718,3.2,5.5,8.7,1.2,0.3,1.1,1.2,3.0,8.3
Craig Sword,SG,28,WAS,3,0,6.3,1.0,1.3,.750,0.0,0.3,.000,1.0,1.0,1.000,.750,0.0,0.0,0,0.0,0.0,0.0,0.3,1.3,0.0,0.3,2.3,2.0
Keifer Sykes,PG,28,IND,32,11,17.7,2.2,5.9,.363,0.8,2.8,.300,1.3,3.1,.420,.434,0.5,0.5,.882,0.3,1.2,1.4,1.9,0.4,0.1,1.0,1.6,5.6
Jayson Tatum,SF,23,BOS,76,76,35.9,9.3,20.6,.453,3.0,8.6,.353,6.3,12.0,.524,.526,5.3,6.2,.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,26.9
Terry Taylor,SG,22,IND,33,7,21.6,4.1,6.7,.614,0.4,1.2,.316,3.7,5.5,.676,.641,1.1,1.5,.706,2.9,2.3,5.2,1.2,0.4,0.2,0.7,1.8,9.6
Daniel Theis,C,29,TOT,47,27,20.8,3.2,6.2,.519,0.7,2.3,.308,2.5,3.9,.641,.576,1.0,1.5,.681,1.3,3.6,4.9,0.9,0.4,0.7,1.0,2.4,8.2
Daniel Theis,C,29,BOS,21,6,18.7,3.2,5.3,.598,0.5,1.3,.357,2.7,4.0,.679,.643,1.0,1.5,.688,1.3,3.4,4.7,1.0,0.4,0.7,0.7,2.3,7.9
Brodric Thomas,SG,25,BOS,12,0,5.0,0.7,1.5,.444,0.2,0.8,.222,0.5,0.8,.667,.500,0.3,0.4,.600,0.2,0.7,0.8,0.9,0.1,0.1,0.5,0.6,1.8
Cam Thomas,SG,20,BRK,67,2,17.6,3.3,7.5,.433,0.7,2.6,.270,2.6,4.9,.520,.480,1.3,1.6,.829,0.2,2.2,2.4,1.2,0.5,0.1,0.8,1.0,8.5
Isaiah Thomas,PG,32,TOT,22,1,15.1,3.0,7.6,.401,1.3,3.8,.337,1.8,3.8,.464,.485,1.0,1.2,.846,0.2,1.1,1.3,1.5,0.3,0.2,0.7,1.5,8.4
Isaiah Thomas,PG,32,DAL,1,0,13.0,3.0,8.0,.375,0.0,3.0,.000,3.0,5.0,.600,.375,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
Isaiah Thomas,PG,32,CHO,17,0,12.9,3.1,7.1,.433,1.4,3.4,.397,1.7,3.6,.468,.529,0.8,0.9,.933,0.2,1.1,1.2,1.4,0.4,0.2,0.6,1.3,8.3
Matt Thomas,SG,27,CHI,40,0,11.5,1.4,3.4,.410,0.9,2.3,.385,0.5,1.1,.465,.541,0.4,0.5,.800,0.1,1.2,1.3,0.5,0.2,0.1,0.2,0.5,4.0
Klay Thompson,SG,31,GSW,32,32,29.4,7.7,17.9,.429,3.6,9.3,.385,4.1,8.7,.477,.529,1.4,1.6,.902,0.5,3.4,3.9,2.8,0.5,0.5,1.3,1.7,20.4
Tristan Thompson,PF,30,TOT,57,6,15.7,2.5,4.7,.528,0.0,0.1,.333,2.5,4.6,.530,.530,1.1,2.0,.526,2.1,2.9,5.1,0.6,0.4,0.4,0.8,1.7,6.0
Tristan Thompson,PF,30,IND,4,0,16.5,3.3,6.0,.542,0.0,0.0,0,3.3,6.0,.542,.542,0.8,2.0,.375,1.8,2.8,4.5,0.5,0.0,0.5,1.0,1.8,7.3
Tristan Thompson,PF,30,CHI,23,3,16.3,2.3,4.0,.565,0.0,0.1,.000,2.3,3.9,.578,.565,1.1,2.1,.542,1.8,3.0,4.7,0.6,0.5,0.3,0.5,1.7,5.7
JT Thor,PF,19,CHO,33,0,7.9,0.7,1.7,.436,0.2,0.8,.259,0.5,0.8,.607,.500,0.4,0.6,.600,0.3,1.0,1.3,0.6,0.2,0.3,0.3,0.8,2.0
Isaiah Todd,PF,20,WAS,12,0,6.2,0.6,2.2,.269,0.3,1.3,.250,0.3,0.8,.300,.346,0.2,0.5,.333,0.3,0.8,1.0,0.3,0.3,0.2,0.3,0.3,1.7
Juan Toscano-Anderson,SF,28,GSW,73,6,13.6,1.6,3.2,.489,0.4,1.2,.322,1.2,2.0,.588,.549,0.5,1.0,.571,0.4,2.0,2.4,1.7,0.7,0.2,0.9,1.6,4.1
Rayjon Tucker,SG,24,TOT,5,0,14.2,1.2,1.8,.667,0.8,1.0,.800,0.4,0.8,.500,.889,1.0,1.4,.714,0.6,1.0,1.6,2.0,0.8,0.0,0.2,1.0,4.2
Myles Turner,C,25,IND,42,42,29.4,4.8,9.4,.509,1.5,4.4,.333,3.3,5.0,.662,.587,1.9,2.5,.752,1.5,5.5,7.1,1.0,0.7,2.8,1.3,2.8,12.9
Denzel Valentine,SG,28,TOT,24,0,9.3,1.0,2.8,.379,0.8,2.0,.404,0.3,0.8,.316,.523,0.0,0.0,0,0.4,1.4,1.8,0.5,0.3,0.0,0.5,0.8,2.9
Denzel Valentine,SG,28,CLE,22,0,9.3,1.0,2.8,.371,0.8,2.0,.409,0.2,0.8,.278,.516,0.0,0.0,0,0.4,1.3,1.7,0.5,0.3,0.0,0.5,0.8,2.9
Nikola Vučević,C,31,CHI,73,73,33.1,7.5,15.8,.473,1.4,4.5,.314,6.1,11.3,.537,.518,1.3,1.7,.760,1.9,9.1,11.0,3.2,1.0,1.0,1.9,2.5,17.6
Dean Wade,PF,25,CLE,51,28,19.2,1.9,4.3,.456,1.0,2.8,.359,0.9,1.5,.640,.574,0.4,0.6,.667,0.6,2.3,2.9,1.0,0.6,0.1,0.3,1.7,5.3
Derrick Walton,PG,26,DET,3,3,36.0,2.0,8.7,.231,1.0,4.3,.231,1.0,4.3,.231,.288,1.3,1.3,1.000,0.7,2.7,3.3,7.0,2.3,1.3,3.7,2.7,6.3
Brad Wanamaker,PG,32,TOT,23,2,13.9,1.2,3.3,.364,0.2,0.7,.235,1.0,2.6,.400,.390,1.0,1.1,.920,0.3,1.4,1.7,2.4,0.3,0.3,1.0,2.0,3.6
Brad Wanamaker,PG,32,IND,22,1,13.3,1.2,3.3,.361,0.2,0.8,.235,1.0,2.5,.400,.389,0.9,1.0,.909,0.3,1.3,1.6,2.2,0.2,0.3,1.0,1.9,3.5
Brad Wanamaker,PG,32,WAS,1,1,27.0,2.0,5.0,.400,0.0,0.0,0,2.0,5.0,.400,.400,3.0,3.0,1.000,0.0,4.0,4.0,7.0,2.0,0.0,0.0,3.0,7.0
Duane Washington Jr.,PG,21,IND,48,7,20.2,3.6,8.9,.405,1.7,4.5,.377,1.9,4.4,.434,.500,1.0,1.3,.754,0.1,1.6,1.7,1.8,0.5,0.1,1.2,1.4,9.9
P.J. Washington,C,23,CHO,65,28,27.2,3.8,8.2,.470,1.7,4.6,.365,2.2,3.6,.606,.573,0.9,1.2,.716,1.3,3.9,5.2,2.3,0.9,0.9,1.3,2.3,10.3
Tremont Waters,PG,24,TOT,3,0,16.7,1.3,4.7,.286,0.7,3.0,.222,0.7,1.7,.400,.357,0.0,0.0,0,0.0,1.3,1.3,2.3,1.7,0.0,1.3,1.3,3.3
Tremont Waters,PG,24,WAS,1,0,8.0,1.0,2.0,.500,0.0,0.0,0,1.0,2.0,.500,.500,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
Quinndary Weatherspoon,SG,25,GSW,11,0,6.6,1.1,1.9,.571,0.1,0.5,.200,1.0,1.5,.688,.595,0.5,0.5,1.000,0.2,1.1,1.3,0.5,0.1,0.1,0.3,1.4,2.7
Coby White,PG,21,CHI,61,17,27.5,4.6,10.6,.433,2.2,5.8,.385,2.3,4.8,.491,.539,1.3,1.5,.857,0.3,2.7,3.0,2.9,0.5,0.2,1.1,2.2,12.7
Derrick White,SG,27,TOT,75,52,29.3,4.5,10.7,.421,1.5,4.9,.312,3.0,5.7,.515,.493,2.7,3.1,.864,0.5,3.0,3.5,4.9,0.9,0.8,1.6,2.3,13.2
Derrick White,SG,27,BOS,26,4,27.4,3.6,8.8,.409,1.3,4.3,.306,2.3,4.6,.504,.483,2.5,2.9,.853,0.5,2.9,3.4,3.5,0.6,0.6,1.2,2.2,11.0
Andrew Wiggins,SF,26,GSW,73,73,31.9,6.5,14.0,.466,2.2,5.5,.393,4.4,8.5,.513,.543,2.0,3.2,.634,1.2,3.3,4.5,2.2,1.0,0.7,1.5,2.2,17.2
Grant Williams,PF,23,BOS,77,21,24.4,2.7,5.6,.475,1.4,3.4,.411,1.3,2.3,.569,.597,1.1,1.2,.905,0.8,2.7,3.6,1.0,0.5,0.7,0.8,2.4,7.8
Lou Williams,PG,35,ATL,56,0,14.3,2.2,5.7,.391,0.7,1.8,.363,1.6,3.9,.404,.448,1.2,1.4,.859,0.3,1.3,1.6,1.9,0.5,0.1,0.8,0.9,6.3
Patrick Williams,PF,20,CHI,17,9,24.8,3.2,6.0,.529,0.9,1.7,.517,2.3,4.3,.534,.603,1.8,2.4,.732,1.0,3.1,4.1,0.9,0.5,0.5,0.9,1.6,9.0
Robert Williams,C,24,BOS,61,61,29.6,4.4,6.0,.736,0.0,0.0,.000,4.4,6.0,.738,.736,1.1,1.5,.722,3.9,5.7,9.6,2.0,0.9,2.2,1.0,2.2,10.0
Dylan Windler,SF,25,CLE,50,0,9.2,0.7,2.0,.378,0.4,1.4,.300,0.3,0.6,.571,.485,0.3,0.4,.833,0.4,1.4,1.8,0.7,0.3,0.1,0.3,0.9,2.2
Justise Winslow,PF,25,TOT,48,11,16.1,2.3,5.4,.428,0.3,1.4,.227,2.0,4.0,.497,.457,0.8,1.4,.591,1.0,3.2,4.2,1.8,0.7,0.5,1.0,1.4,5.7
Cassius Winston,PG,23,WAS,7,0,5.6,0.6,1.6,.364,0.3,0.9,.333,0.3,0.7,.400,.455,0.6,0.6,1.000,0.0,0.1,0.1,1.0,0.0,0.0,0.4,1.3,2.0
Delon Wright,SG,29,ATL,77,8,18.9,1.6,3.5,.454,0.6,1.5,.379,1.0,2.0,.510,.535,0.7,0.8,.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4
Moses Wright,PF,23,TOT,4,0,3.5,0.3,1.0,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.8,0.8,1.000,0.3,0.5,0.8,0.5,0.0,0.3,0.0,0.0,1.3
Moses Wright,PF,23,DAL,3,0,4.3,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,1.0,1.0,1.000,0.3,0.7,1.0,0.3,0.0,0.3,0.0,0.0,1.7
Gabe York,SG,28,IND,2,0,10.5,1.0,3.5,.286,0.5,3.0,.167,0.5,0.5,1.000,.357,1.5,2.5,.600,0.0,1.0,1.0,2.0,1.0,0.5,0.5,2.0,4.0
Thaddeus Young,PF,33,TOT,52,1,16.3,2.7,5.2,.518,0.3,0.9,.354,2.4,4.3,.554,.550,0.4,0.9,.469,1.5,2.5,4.0,2.0,1.0,0.3,1.0,1.6,6.2
Trae Young,PG,23,ATL,76,76,34.9,9.4,20.3,.460,3.1,8.0,.382,6.3,12.3,.512,.536,6.6,7.3,.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7,28.4
